image,lambda,alpha,true0est0,true1est1,true0est1,true1est0,total,F
1.0,0.1,0.005,840.0,0.0,0.0,30.0,870.0,0.0
1.0,0.1,0.01,840.0,0.0,0.0,30.0,870.0,0.0
1.0,0.1,0.015000000000000001,840.0,0.0,0.0,30.0,870.0,0.0
1.0,0.1,0.02,840.0,0.0,0.0,30.0,870.0,0.0
1.0,0.1,0.025,840.0,0.0,0.0,30.0,870.0,0.0
1.0,0.1,0.030000000000000002,840.0,0.0,0.0,30.0,870.0,0.0
1.0,0.1,0.035,840.0,0.0,0.0,30.0,870.0,0.0
1.0,0.1,0.04,840.0,0.0,0.0,30.0,870.0,0.0
1.0,0.1,0.045000000000000005,840.0,0.0,0.0,30.0,870.0,0.0
1.0,0.1,0.05,840.0,0.0,0.0,30.0,870.0,0.0
1.0,0.3111111111111111,0.005,840.0,18.0,0.0,12.0,870.0,0.8225806451612903
1.0,0.3111111111111111,0.01,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,0.3111111111111111,0.015000000000000001,840.0,12.0,0.0,18.0,870.0,0.6727272727272727
1.0,0.3111111111111111,0.02,840.0,8.0,0.0,22.0,870.0,0.4791666666666667
1.0,0.3111111111111111,0.025,840.0,0.0,0.0,30.0,870.0,0.07894736842105263
1.0,0.3111111111111111,0.030000000000000002,840.0,0.0,0.0,30.0,870.0,0.0
1.0,0.3111111111111111,0.035,840.0,0.0,0.0,30.0,870.0,0.0
1.0,0.3111111111111111,0.04,840.0,0.0,0.0,30.0,870.0,0.0
1.0,0.3111111111111111,0.045000000000000005,840.0,0.0,0.0,30.0,870.0,0.0
1.0,0.3111111111111111,0.05,840.0,0.0,0.0,30.0,870.0,0.0
1.0,0.5222222222222221,0.005,840.0,21.0,0.0,9.0,870.0,0.8854961832061068
1.0,0.5222222222222221,0.01,840.0,18.0,0.0,12.0,870.0,0.8225806451612903
1.0,0.5222222222222221,0.015000000000000001,840.0,13.0,0.0,17.0,870.0,0.6964285714285715
1.0,0.5222222222222221,0.02,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,0.5222222222222221,0.025,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,0.5222222222222221,0.030000000000000002,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,0.5222222222222221,0.035,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,0.5222222222222221,0.04,840.0,9.0,0.0,21.0,870.0,0.5961538461538461
1.0,0.5222222222222221,0.045000000000000005,840.0,6.0,0.0,24.0,870.0,0.39560439560439553
1.0,0.5222222222222221,0.05,840.0,1.0,0.0,29.0,870.0,0.2195121951219512
1.0,0.7333333333333333,0.005,840.0,24.0,0.0,6.0,870.0,0.9420289855072463
1.0,0.7333333333333333,0.01,840.0,18.0,0.0,12.0,870.0,0.832
1.0,0.7333333333333333,0.015000000000000001,840.0,18.0,0.0,12.0,870.0,0.8225806451612903
1.0,0.7333333333333333,0.02,840.0,16.0,0.0,14.0,870.0,0.7521367521367521
1.0,0.7333333333333333,0.025,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,0.7333333333333333,0.030000000000000002,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,0.7333333333333333,0.035,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,0.7333333333333333,0.04,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,0.7333333333333333,0.045000000000000005,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,0.7333333333333333,0.05,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,0.9444444444444444,0.005,840.0,27.0,0.0,3.0,870.0,0.971830985915493
1.0,0.9444444444444444,0.01,840.0,18.0,0.0,12.0,870.0,0.8503937007874016
1.0,0.9444444444444444,0.015000000000000001,840.0,18.0,0.0,12.0,870.0,0.832
1.0,0.9444444444444444,0.02,840.0,18.0,0.0,12.0,870.0,0.8032786885245902
1.0,0.9444444444444444,0.025,840.0,14.0,0.0,16.0,870.0,0.7304347826086955
1.0,0.9444444444444444,0.030000000000000002,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,0.9444444444444444,0.035,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,0.9444444444444444,0.04,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,0.9444444444444444,0.045000000000000005,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,0.9444444444444444,0.05,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.1555555555555557,0.005,840.0,30.0,0.0,0.0,870.0,0.993103448275862
1.0,1.1555555555555557,0.01,840.0,18.0,0.0,12.0,870.0,0.8593750000000001
1.0,1.1555555555555557,0.015000000000000001,840.0,18.0,0.0,12.0,870.0,0.8503937007874016
1.0,1.1555555555555557,0.02,840.0,18.0,0.0,12.0,870.0,0.8225806451612903
1.0,1.1555555555555557,0.025,840.0,14.0,0.0,16.0,870.0,0.7304347826086955
1.0,1.1555555555555557,0.030000000000000002,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.1555555555555557,0.035,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.1555555555555557,0.04,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.1555555555555557,0.045000000000000005,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.1555555555555557,0.05,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.3666666666666667,0.005,840.0,28.0,0.0,2.0,870.0,0.9790209790209791
1.0,1.3666666666666667,0.01,840.0,20.0,0.0,10.0,870.0,0.8769230769230769
1.0,1.3666666666666667,0.015000000000000001,840.0,18.0,0.0,12.0,870.0,0.8503937007874016
1.0,1.3666666666666667,0.02,840.0,18.0,0.0,12.0,870.0,0.832
1.0,1.3666666666666667,0.025,840.0,15.0,0.0,15.0,870.0,0.7192982456140351
1.0,1.3666666666666667,0.030000000000000002,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.3666666666666667,0.035,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
